card,from,to,constants,function,args,include_in_source_field,include_in_card
Dimensions,kenmerken/lhformatsc.lhformatwerksc,Dimension Value,"{'height': 'hoogte', 'width': 'breedte', 'depth': 'diepte', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken.lhdiamsc,Dimension Value,"{'diameter': 'diameter', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken.lhformatps,Dimension Value,"{'height': 'hoogte', 'width': 'breedte', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken.lhformatph,Dimension Value,"{'height': 'hoogte', 'width': 'breedte', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken.lhformatdc,Dimension Value,"{'height': 'hoogte', 'width': 'breedte', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken.lhdiamob,Dimension Value,"{'diameter': 'diameter', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken/lhformatob.lhformatbrob,Dimension Value,"{'diameter': 'breedte', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken/lhformatob.lhformathoob,Dimension Value,"{'diameter': 'hoogte', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken/lhformatob.lhformatdiob,Dimension Value,"{'diameter': 'diepte', 'unit': 'millimeter'}",,,,
Annotations,note.lhalg,Annotation,"{'Annotation Language': 'Nederlands', 'Annotation Type': 'remarks'}",,,,
Annotations,note.mpmalg,Annotation,"{'Annotation Language': 'Nederlands', 'Annotation Type': 'remarks'}",,,,
Annotations,note.mpmsup,Annotation,"{'Annotation Language': 'Nederlands', 'Annotation Type': 'remarks'}",,,,
Annotations,note.rubalg,Annotation,"{'Annotation Language': 'Nederlands', 'Annotation Type': 'remarks'}",,,,
Annotations,adm.note,Annotation,"{'Annotation Language': 'Nederlands', 'Annotation Type': 'remarks'}",,,,
ExternalRelations,ere.type,External Relation,,column_lookup,{'lookup_file': 'externe_relatie_types.csv'},,"['catalogue', 'lhdigital', 'lhdocumenten', 'lhliteratuur', 'lhpublicatie', 'mpmbron', 'mpmdesginof', 'mpmliteratuur', 'mpmmuseum', 'mpmtranscription', 'rubliteratuurgerelateerd', 'rubpublicatie']"
ExternalRelations,ere.markdown,External Relation Note,"{'External Relation Note Language': 'Nederlands', 'External Relation Note Type': 'remarks'}",,,,"['catalogue', 'lhdigital', 'lhdocumenten', 'lhliteratuur', 'lhpublicatie', 'mpmbron', 'mpmdesginof', 'mpmliteratuur', 'mpmmuseum', 'mpmtranscription', 'rubliteratuurgerelateerd', 'rubpublicatie']"
ExternalRelations,ere.url,External Relation URL,,,,,"['catalogue', 'lhdigital', 'lhdocumenten', 'lhliteratuur', 'lhpublicatie', 'mpmbron', 'mpmdesginof', 'mpmliteratuur', 'mpmmuseum', 'mpmtranscription', 'rubliteratuurgerelateerd', 'rubpublicatie']"
ExternalRelations,ere.urltype,External Relation URL Type,,column_lookup,{'lookup_file': 'url_types.csv'},,"['catalogue', 'lhdigital', 'lhdocumenten', 'lhliteratuur', 'lhpublicatie', 'mpmbron', 'mpmdesginof', 'mpmliteratuur', 'mpmmuseum', 'mpmtranscription', 'rubliteratuurgerelateerd', 'rubpublicatie']"
AssociatedRecords,ere.type,Associated Record Relation,,column_lookup,{'lookup_file': 'record_relatie_types.csv'},,"['mpmother', 'mpmhasparts', 'mpmpartof', 'mpmbasedondesign', 'mpmusedfor', 'rubobject', 'rubonderdeel', 'mpmgooglebook', 'google_book', 'rubgeheel', 'mpmrenext', 'mpmreprev']"
AssociatedRecords,ere.markdown,Associated Record Note,"{'Associated Record Note Language': 'Nederlands', 'Associated Record Note Type': 'remarks'}",,,,"['mpmother', 'mpmhasparts', 'mpmpartof', 'mpmbasedondesign', 'mpmusedfor', 'rubobject', 'rubonderdeel', 'mpmgooglebook', 'google_book', 'rubgeheel', 'mpmrenext', 'mpmreprev']"
AssociatedRecords,ere.url,Associated Brocade ID,,,,,"['mpmother', 'mpmhasparts', 'mpmpartof', 'mpmbasedondesign', 'mpmusedfor', 'rubobject', 'rubonderdeel', 'mpmgooglebook', 'google_book', 'rubgeheel', 'mpmrenext', 'mpmreprev']"
AssociatedRecords,ere.urltype,Associated Record URL Type,,column_lookup,{'lookup_file': 'url_types.csv'},,"['mpmother', 'mpmhasparts', 'mpmpartof', 'mpmbasedondesign', 'mpmusedfor', 'rubobject', 'rubonderdeel', 'mpmgooglebook', 'google_book', 'rubgeheel', 'mpmrenext', 'mpmreprev']"
Acquisitions,adm.acquiredVia,Acquisition Brocade ID,,,,,
Archives,adm.isadPartOf,Archive Brocade ID,,,,,
ProductionTimeSpans,id/date.creationdate/so,Date,,,,,
ProductionTimeSpans,id/date.creationdate/tr,Date Type,,column_lookup,{'lookup_file': 'date_types.csv'},,
ProductionTimeSpans,id/date.creationdate/sr,Date Note,"{'Note Type': 'production date note', 'Note Language': 'Nederlands'}",,,,
ProductionTimeSpans,id/date.exposure/so,Date,,,,,
ProductionTimeSpans,id/date.exposure/tr,Date Type,,column_lookup,{'lookup_file': 'date_types.csv'},,
ProductionTimeSpans,id/date.exposure/sr,Date Note,"{'Note Type': 'production date note', 'Note Language': 'Nederlands'}",,,,
